Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,898.0,Human Resources,7,2.0,Medical,2071,3,Male,37.0,3.0,4.0,Manager,4,Single,16434.0,17378.0,1,Yes,23.0,4.0,4.0,0.0,18,2.0,3,23,7.0,7.0,7.0
45,No,Non-Travel,248.0,Research & Development,23,2.0,Life Sciences,1002,4,Male,42.0,3.0,2.0,Laboratory Technician,1,Married,3633.0,14039.0,1,Yes,15.0,3.0,3.0,1.0,9,2.0,3,9,8.0,0.0,8.0
47,No,Travel_Rarely,1310.0,Sales,10,4.0,Marketing,2562,4,Male,78.0,3.0,2.0,Sales Executive,4,Single,4510.0,8190.0,3,No,10.0,3.0,3.0,0.0,11,1.0,4,5,1.0,0.0,4.0
55,No,Travel_Rarely,478.0,Research & Development,2,3.0,Medical,1770,3,Male,60.0,2.0,5.0,Research Director,1,Married,16679.875,19805.0,8,No,12.0,3.0,2.0,3.0,34,2.0,3,1,0.0,0.0,0.0
32,No,Travel_Rarely,601.0,Sales,7,5.0,Marketing,1446,4,Male,97.0,3.0,2.0,Sales Executive,4,Married,9204.0,23343.0,4,No,12.0,3.0,3.0,1.0,7,3.0,2,4,3.0,0.0,3.0
30,No,Travel_Rarely,305.0,Research & Development,16,3.0,Life Sciences,1763,3,Male,58.0,4.0,2.0,Healthcare Representative,3,Married,5294.0,9128.0,3,No,16.0,3.0,3.0,1.0,10,3.0,3,7,0.0,1.0,7.0
38,No,Travel_Rarely,395.0,Sales,9,3.0,Marketing,893,2,Male,98.0,2.0,1.0,Sales Representative,2,Married,2899.0,12102.0,0,No,19.0,3.0,4.0,1.0,3,3.0,3,2,2.0,1.0,2.0
48,Yes,Travel_Frequently,708.0,Sales,7,2.0,Medical,1691,4,Female,95.0,3.0,1.0,Sales Representative,3,Married,2655.0,11740.0,2,Yes,11.0,3.0,3.0,2.0,10,3.0,3,9,7.0,7.0,7.0
36,Yes,Travel_Rarely,697.0,Research & Development,4,1.0,Medical,2278,2,Male,81.0,3.0,1.0,Research Scientist,1,Single,2962.0,17101.0,2,No,14.0,3.0,3.0,0.0,8,2.0,3,6,2.0,1.0,3.0
36,No,Travel_Rarely,1405.0,Sales,2,3.0,Life Sciences,2131,1,Male,58.0,2.0,1.0,Sales Representative,1,Single,2859.0,11472.0,4,No,15.0,3.0,1.0,0.0,19,3.0,2,0,0.0,0.0,0.0
36,No,Travel_Rarely,1040.0,Research & Development,3,2.0,Life Sciences,1664,4,Male,79.0,4.0,2.0,Healthcare Representative,1,Divorced,6842.0,26308.0,6,No,20.0,4.0,1.0,1.0,13,3.0,3,5,4.0,0.0,4.0
60,No,Travel_Rarely,422.0,Research & Development,7,3.0,Life Sciences,549,1,Female,41.0,3.0,5.0,Manager,1,Married,16679.875,3854.0,5,No,11.0,3.0,4.0,0.0,33,5.0,1,29,8.0,11.0,10.0
36,Yes,Travel_Rarely,1146.0,Sales,8,3.0,Life Sciences,796,4,Male,38.0,2.0,2.0,Sales Executive,1,Single,5326.0,3064.0,6,No,17.0,3.0,3.0,0.0,6,2.0,2,4,3.0,1.0,2.0
28,No,Travel_Frequently,193.0,Research & Development,2,3.0,Life Sciences,1296,4,Male,52.0,2.0,1.0,Laboratory Technician,4,Married,3867.0,14222.0,1,Yes,12.0,3.0,2.0,1.0,2,2.0,3,2,2.0,2.0,2.0
33,No,Travel_Rarely,654.0,Research & Development,5,3.0,Life Sciences,1099,4,Male,34.0,2.0,3.0,Healthcare Representative,4,Divorced,7119.0,21214.0,4,No,15.0,3.0,3.0,1.0,9,2.0,3,3,2.0,1.0,2.0
48,No,Travel_Rarely,1456.0,Sales,1,4.0,Life Sciences,2712,4,Female,67.0,2.0,1.0,Sales Representative,4,Single,3292.0,13137.0,1,Yes,16.0,3.0,1.0,0.0,3,3.0,2,2,2.0,1.0,2.0
35,No,Travel_Rarely,1146.0,Human Resources,26,4.0,Life Sciences,2040,3,Female,31.0,3.0,3.0,Human Resources,3,Single,8837.0,16642.0,1,Yes,16.0,3.0,3.0,0.0,9,2.0,3,9,0.0,1.0,7.0
29,No,Travel_Rarely,632.0,Research & Development,3,4.0,Other,2426,2,Female,33.0,4.0,1.0,Research Scientist,4,Married,3313.0,18782.0,3,No,19.0,3.0,4.0,2.0,9,3.0,3,1,2.0,0.0,2.0
35,No,Travel_Frequently,1182.0,Sales,11,2.0,Marketing,1137,4,Male,54.0,3.0,2.0,Sales Executive,4,Divorced,4968.0,18500.0,1,No,11.0,3.0,4.0,1.0,5,3.0,3,5,2.0,0.0,2.0
28,No,Travel_Rarely,993.0,Research & Development,5,3.0,Life Sciences,2355,3,Female,71.0,3.0,1.0,Laboratory Technician,4,Married,2656.0,17758.0,1,Yes,11.0,3.0,3.0,1.0,0,2.0,3,3,2.0,0.0,2.0
20,No,Travel_Rarely,802.0,Research & Development,1,3.0,Life Sciences,2415,1,Male,89.0,2.0,1.0,Laboratory Technician,3,Single,3033.0,12827.0,1,No,13.0,3.0,1.0,0.0,4,2.0,2,0,2.0,1.0,2.0
25,No,Travel_Rarely,1354.0,Sales,4,2.0,Other,2178,1,Female,31.0,3.0,2.0,Sales Executive,3,Married,4998.0,17516.0,0,No,22.0,4.0,1.0,1.0,1,2.0,2,1,2.0,0.0,2.0
53,No,Travel_Rarely,432.0,Research & Development,5,4.0,Medical,2081,4,Female,65.0,3.0,2.0,Research Scientist,4,Married,6853.0,15698.0,4,No,17.0,3.0,2.0,1.0,14,2.0,2,10,1.0,1.0,7.0
49,No,Travel_Frequently,636.0,Research & Development,10,4.0,Life Sciences,396,3,Female,35.0,3.0,5.0,Research Director,1,Single,16679.875,25594.0,9,Yes,11.0,3.0,4.0,0.0,22,4.0,3,3,2.0,1.0,2.0
35,No,Travel_Rarely,890.0,Sales,2,3.0,Marketing,49,4,Female,97.0,3.0,1.0,Sales Representative,4,Married,2014.0,9687.0,1,No,13.0,3.0,1.0,0.0,2,3.0,3,2,2.0,2.0,2.0
44,No,Travel_Rarely,921.0,Research & Development,2,3.0,Life Sciences,1703,3,Female,96.0,4.0,3.0,Healthcare Representative,3,Married,7879.0,14810.0,1,Yes,19.0,3.0,2.0,1.0,9,2.0,3,8,7.0,6.0,7.0
38,No,Travel_Rarely,362.0,Research & Development,1,1.0,Life Sciences,662,3,Female,43.0,3.0,1.0,Research Scientist,1,Single,2619.0,14561.0,3,No,17.0,3.0,4.0,0.0,8,3.0,2,0,0.0,0.0,0.0
29,No,Travel_Frequently,574.0,Research & Development,20,1.0,Medical,1852,4,Male,40.0,3.0,1.0,Laboratory Technician,4,Married,3812.0,7003.0,1,No,13.0,3.0,2.0,0.0,11,3.0,4,11,8.0,3.0,10.0
40,No,Travel_Rarely,759.0,Sales,2,2.0,Marketing,516,4,Female,46.0,3.0,2.0,Sales Executive,2,Divorced,5715.0,22553.0,7,No,12.0,3.0,3.0,2.0,10,5.0,3,5,4.0,1.0,3.0
35,No,Non-Travel,1225.0,Research & Development,2,4.0,Life Sciences,771,4,Female,61.0,3.0,2.0,Healthcare Representative,1,Divorced,5093.0,4761.0,2,No,11.0,3.0,1.0,1.0,16,2.0,4,1,0.0,0.0,0.0
39,Yes,Travel_Rarely,1122.0,Research & Development,6,3.0,Medical,932,4,Male,70.0,3.0,1.0,Laboratory Technician,1,Married,2404.0,4303.0,7,Yes,21.0,4.0,4.0,0.0,8,2.0,1,2,2.0,2.0,2.0
25,No,Travel_Rarely,978.0,Research & Development,1,1.0,Other,2698,3,Male,56.0,3.0,1.0,Laboratory Technician,3,Divorced,3974.0,7295.0,6,Yes,20.0,3.0,3.0,1.0,6,2.0,2,3,2.0,0.0,2.0
33,No,Non-Travel,750.0,Sales,22,2.0,Marketing,160,3,Male,95.0,3.0,2.0,Sales Executive,2,Married,6146.0,15480.0,0,No,13.0,3.0,1.0,1.0,8,2.0,4,7,7.0,0.0,7.0
32,No,Travel_Frequently,689.0,Sales,9,2.0,Medical,195,4,Male,35.0,1.0,2.0,Sales Executive,4,Divorced,4668.0,22812.0,0,No,17.0,3.0,4.0,3.0,9,2.0,4,8,7.0,0.0,7.0
41,No,Travel_Rarely,896.0,Sales,6,3.0,Life Sciences,298,4,Female,75.0,3.0,3.0,Manager,4,Single,13591.0,14674.0,3,Yes,18.0,3.0,3.0,0.0,16,3.0,3,1,0.0,0.0,0.0
39,No,Travel_Rarely,524.0,Research & Development,18,2.0,Life Sciences,1322,1,Male,32.0,3.0,2.0,Manufacturing Director,3,Single,4534.0,13352.0,0,No,11.0,3.0,1.0,0.0,9,6.0,3,8,7.0,1.0,7.0
30,No,Non-Travel,879.0,Research & Development,9,2.0,Medical,1298,3,Female,72.0,3.0,2.0,Manufacturing Director,3,Single,4695.0,12858.0,7,Yes,18.0,3.0,3.0,0.0,10,3.0,3,8,4.0,1.0,7.0
26,Yes,Travel_Frequently,575.0,Research & Development,3,1.0,Technical Degree,510,3,Male,73.0,3.0,1.0,Research Scientist,1,Single,3102.0,6582.0,0,No,22.0,4.0,3.0,0.0,7,2.0,3,6,4.0,0.0,4.0
35,No,Travel_Rarely,750.0,Research & Development,28,3.0,Life Sciences,1596,2,Male,46.0,4.0,2.0,Laboratory Technician,3,Married,3407.0,25348.0,1,No,17.0,3.0,4.0,2.0,10,3.0,2,10,9.0,6.0,8.0
33,No,Travel_Rarely,1242.0,Sales,8,4.0,Life Sciences,1560,1,Male,46.0,3.0,2.0,Sales Executive,1,Married,6392.0,10589.0,2,No,13.0,3.0,4.0,1.0,8,6.0,1,2,2.0,2.0,2.0
52,No,Travel_Rarely,1125.0,Research & Development,3,2.0,Medical,2309,4,Male,66.0,3.0,4.0,Research Director,4,Divorced,16679.875,6616.0,9,No,24.0,4.0,3.0,1.0,32,1.0,2,4,4.0,1.0,3.0
34,No,Travel_Rarely,1130.0,Research & Development,3,3.0,Life Sciences,1658,4,Female,66.0,3.0,2.0,Research Scientist,2,Divorced,5433.0,19332.0,1,No,12.0,3.0,3.0,1.0,11,2.0,3,11,8.0,7.0,9.0
21,No,Non-Travel,895.0,Sales,9,2.0,Medical,484,1,Male,39.0,3.0,1.0,Sales Representative,4,Single,2610.0,2851.0,1,No,24.0,4.0,3.0,0.0,3,3.0,2,3,2.0,2.0,2.0
42,No,Travel_Frequently,1271.0,Research & Development,2,1.0,Medical,875,2,Male,35.0,3.0,1.0,Research Scientist,4,Single,2515.0,9068.0,5,Yes,14.0,3.0,4.0,0.0,8,2.0,3,2,1.0,2.0,2.0
43,No,Travel_Rarely,920.0,Research & Development,3,3.0,Life Sciences,1255,3,Male,96.0,1.0,5.0,Research Director,4,Married,16679.875,18625.0,3,No,14.0,3.0,2.0,1.0,25,2.0,3,8,7.0,0.0,7.0
21,Yes,Travel_Rarely,156.0,Sales,7,3.0,Life Sciences,494,3,Female,90.0,4.0,1.0,Sales Representative,2,Single,4967.0,25422.0,2,No,15.0,3.0,4.0,0.0,10,0.0,3,1,0.0,0.0,0.0
38,No,Travel_Rarely,645.0,Research & Development,3,3.0,Life Sciences,2523,3,Male,76.0,3.0,1.0,Research Scientist,4,Married,2779.0,21412.0,3,No,23.0,4.0,1.0,1.0,13,3.0,3,2,3.0,1.0,0.0
46,No,Travel_Rarely,1319.0,Sales,3,3.0,Technical Degree,1863,3,Female,45.0,4.0,4.0,Sales Executive,1,Divorced,13225.0,7739.0,2,No,12.0,3.0,4.0,1.0,25,5.0,3,19,17.0,2.0,8.0
28,No,Travel_Rarely,1467.0,Research & Development,2,3.0,Medical,2528,4,Male,64.0,3.0,1.0,Research Scientist,2,Married,3582.0,9370.0,0,Yes,23.0,4.0,1.0,1.0,13,2.0,3,11,9.0,5.0,7.0
35,No,Travel_Rarely,204.0,Research & Development,12,3.0,Medical,2407,2,Female,96.0,1.0,3.0,Research Director,3,Married,13204.0,3374.0,3,No,9.0,3.0,1.0,1.0,19,3.0,3,18,16.0,1.0,11.0
58,Yes,Travel_Rarely,147.0,Research & Development,23,4.0,Life Sciences,165,4,Female,94.0,3.0,3.0,Healthcare Representative,4,Married,10312.0,3465.0,1,No,12.0,3.0,4.0,1.0,40,3.0,2,40,10.0,15.0,6.0
42,No,Travel_Rarely,466.0,Research & Development,15,3.0,Life Sciences,2302,1,Male,56.0,3.0,1.0,Research Scientist,3,Divorced,2451.0,4611.0,4,No,14.0,3.0,1.0,1.0,16,2.0,3,6,8.0,1.0,8.0
31,No,Travel_Rarely,192.0,Research & Development,2,4.0,Life Sciences,426,3,Male,32.0,3.0,1.0,Research Scientist,4,Divorced,2695.0,7747.0,0,Yes,18.0,3.0,2.0,1.0,3,2.0,1,2,2.0,2.0,2.0
38,No,Travel_Rarely,885.0,Sales,0,4.0,Life Sciences,2481,3,Female,73.0,3.0,2.0,Sales Executive,3,Single,6814.0,21447.0,6,No,14.0,3.0,1.0,0.0,12,5.0,3,4,0.0,0.0,0.0
39,No,Travel_Frequently,1218.0,Research & Development,1,1.0,Life Sciences,531,2,Male,52.0,3.0,5.0,Manager,3,Divorced,16679.875,8213.0,1,Yes,14.0,3.0,3.0,1.0,21,3.0,3,21,8.0,1.0,6.0
36,Yes,Travel_Rarely,1161.0,Sales,4,2.0,Medical,2201,4,Female,44.0,3.0,2.0,Sales Executive,3,Married,5239.0,17778.0,4,Yes,20.0,3.0,1.0,0.0,13,3.0,2,2,0.0,0.0,0.0
26,No,Travel_Rarely,703.0,Sales,28,2.0,Marketing,641,1,Male,66.0,3.0,2.0,Sales Executive,2,Married,6272.0,7428.0,1,No,20.0,4.0,4.0,2.0,6,5.0,4,5,3.0,1.0,4.0
35,No,Travel_Rarely,1232.0,Sales,16,3.0,Marketing,406,3,Male,96.0,3.0,3.0,Sales Executive,3,Married,4967.0,5100.0,0,No,15.0,3.0,3.0,2.0,12,3.0,2,11,9.0,6.0,9.0
46,No,Travel_Rarely,717.0,Research & Development,13,4.0,Life Sciences,1727,3,Male,34.0,3.0,2.0,Healthcare Representative,2,Single,5562.0,9697.0,6,No,14.0,3.0,4.0,0.0,19,3.0,3,10,7.0,0.0,9.0
50,Yes,Travel_Frequently,1096.0,Sales,8,3.0,Life Sciences,2642,3,Male,83.0,1.0,4.0,Sales Executive,3,Married,12933.0,24166.0,7,No,14.0,3.0,3.0,0.0,27,3.0,1,26,5.0,14.0,10.0
38,No,Travel_Rarely,1494.0,Research & Development,3,2.0,Medical,2701,4,Female,84.0,3.0,1.0,Laboratory Technician,3,Married,3305.0,26173.0,7,No,20.0,3.0,4.0,1.0,5,5.0,2,0,0.0,0.0,0.0
47,No,Travel_Rarely,1329.0,Research & Development,2,2.0,Other,2269,4,Female,62.0,2.0,2.0,Manufacturing Director,4,Divorced,5772.0,5391.0,1,No,17.0,3.0,1.0,2.0,7,3.0,3,10,7.0,3.0,9.0
28,No,Travel_Rarely,580.0,Research & Development,27,3.0,Medical,1622,2,Female,39.0,1.0,2.0,Manufacturing Director,1,Divorced,4877.0,20460.0,0,No,21.0,4.0,2.0,1.0,6,5.0,2,5,3.0,0.0,0.0
27,No,Travel_Rarely,591.0,Research & Development,7,1.0,Medical,7,1,Male,40.0,3.0,1.0,Laboratory Technician,2,Married,3468.0,16632.0,9,No,12.0,3.0,4.0,1.0,6,3.0,3,2,2.0,2.0,2.0
28,No,Travel_Rarely,1172.0,Sales,3,3.0,Medical,1875,2,Female,78.0,3.0,1.0,Sales Representative,3,Married,2856.0,3692.0,1,No,19.0,3.0,4.0,1.0,1,3.0,3,1,0.0,0.0,0.0
27,No,Travel_Rarely,1249.0,Sales,17,2.0,Marketing,2704,4,Male,42.0,3.0,2.0,Sales Executive,4,Divorced,6932.0,10735.0,2,No,11.0,3.0,4.0,1.0,7,2.0,3,2,2.0,0.0,2.0
36,No,Travel_Rarely,429.0,Research & Development,2,4.0,Life Sciences,1294,3,Female,53.0,3.0,2.0,Manufacturing Director,2,Single,5410.0,2323.0,9,Yes,11.0,3.0,4.0,0.0,18,2.0,3,16,14.0,5.0,12.0
28,No,Travel_Rarely,736.0,Sales,26,3.0,Life Sciences,1387,3,Male,48.0,2.0,2.0,Sales Executive,1,Married,4724.0,24232.0,1,No,11.0,3.0,3.0,1.0,5,0.0,3,5,3.0,0.0,4.0
22,No,Travel_Rarely,308.0,Research & Development,11,1.0,Medical,2411,1,Male,80.0,4.0,1.0,Research Scientist,3,Single,3507.0,19632.0,1,No,20.0,3.0,4.0,0.0,0,3.0,3,0,2.0,0.0,2.0
22,Yes,Travel_Frequently,1368.0,Research & Development,7,1.0,Technical Degree,593,3,Male,99.0,2.0,1.0,Laboratory Technician,3,Single,3894.0,9129.0,5,No,16.0,3.0,3.0,0.0,4,3.0,3,2,2.0,1.0,2.0
32,No,Travel_Rarely,827.0,Research & Development,1,1.0,Life Sciences,134,4,Male,71.0,3.0,1.0,Research Scientist,1,Single,2956.0,15178.0,1,No,13.0,3.0,4.0,0.0,1,2.0,3,1,0.0,0.0,0.0
42,No,Travel_Rarely,1210.0,Research & Development,2,3.0,Medical,1542,3,Male,68.0,2.0,1.0,Laboratory Technician,2,Married,4841.0,24052.0,4,No,14.0,3.0,2.0,1.0,4,3.0,3,1,0.0,0.0,0.0
31,Yes,Travel_Rarely,330.0,Research & Development,22,4.0,Medical,1389,4,Male,98.0,3.0,2.0,Manufacturing Director,3,Married,6179.0,21057.0,1,Yes,15.0,3.0,4.0,2.0,10,3.0,2,10,2.0,6.0,7.0
28,No,Non-Travel,120.0,Research & Development,4,3.0,Medical,129,2,Male,43.0,3.0,2.0,Sales Executive,3,Married,4221.0,8863.0,1,No,15.0,3.0,2.0,0.0,5,3.0,4,5,4.0,0.0,4.0
44,No,Travel_Rarely,625.0,Research & Development,4,3.0,Medical,852,4,Male,50.0,3.0,2.0,Healthcare Representative,2,Single,5933.0,5197.0,9,No,12.0,3.0,4.0,0.0,10,2.0,2,5,2.0,2.0,3.0
37,No,Travel_Rarely,1372.0,Research & Development,1,3.0,Life Sciences,391,4,Female,42.0,3.0,1.0,Research Scientist,4,Single,2115.0,15881.0,1,No,12.0,3.0,2.0,0.0,17,3.0,3,17,12.0,5.0,7.0
49,No,Travel_Rarely,271.0,Research & Development,3,2.0,Medical,1509,3,Female,43.0,2.0,2.0,Laboratory Technician,1,Married,4789.0,23070.0,4,No,25.0,4.0,1.0,1.0,10,3.0,3,3,2.0,1.0,2.0
31,No,Travel_Rarely,1157.0,Sales,3,2.0,Life Sciences,2099,1,Male,53.0,3.0,1.0,Sales Representative,3,Married,3069.0,6394.0,2,No,16.0,3.0,3.0,1.0,1,1.0,3,0,2.0,1.0,2.0
37,No,Travel_Rarely,799.0,Research & Development,1,3.0,Technical Degree,623,2,Female,59.0,3.0,3.0,Manufacturing Director,3,Single,7491.0,23848.0,4,No,17.0,3.0,4.0,0.0,12,3.0,4,6,5.0,1.0,2.0
45,No,Travel_Rarely,1448.0,Research & Development,29,3.0,Technical Degree,1465,2,Male,55.0,3.0,3.0,Manufacturing Director,4,Married,9380.0,14720.0,4,Yes,18.0,3.0,4.0,2.0,10,4.0,4,3,1.0,1.0,2.0
37,No,Travel_Frequently,663.0,Research & Development,11,3.0,Other,306,2,Male,47.0,3.0,3.0,Research Director,4,Divorced,12185.0,10056.0,1,Yes,14.0,3.0,3.0,3.0,10,1.0,3,10,8.0,0.0,7.0
26,No,Travel_Rarely,157.0,Research & Development,1,3.0,Medical,1952,3,Male,95.0,3.0,1.0,Laboratory Technician,1,Single,2867.0,20006.0,0,No,13.0,3.0,4.0,0.0,8,6.0,2,7,7.0,7.0,6.0
31,No,Travel_Frequently,1327.0,Research & Development,3,4.0,Medical,337,2,Male,73.0,3.0,3.0,Research Director,3,Divorced,13675.0,13523.0,9,No,12.0,3.0,1.0,1.0,9,3.0,3,2,2.0,2.0,2.0
43,No,Travel_Rarely,1314.0,Research & Development,2,4.0,Other,2120,4,Male,38.0,3.0,5.0,Manager,4,Married,16679.875,9360.0,4,Yes,9.0,3.0,1.0,1.0,25,2.0,4,0,2.0,0.0,1.0
52,No,Travel_Rarely,621.0,Sales,3,4.0,Marketing,776,3,Male,31.0,2.0,4.0,Manager,1,Married,16679.875,10084.0,1,No,11.0,3.0,1.0,0.0,34,3.0,4,34,6.0,1.0,16.0
27,No,Travel_Rarely,269.0,Research & Development,5,1.0,Technical Degree,844,3,Male,42.0,2.0,3.0,Research Director,4,Divorced,12808.0,8842.0,1,Yes,16.0,3.0,2.0,1.0,9,3.0,3,9,8.0,0.0,8.0
37,No,Travel_Rarely,1225.0,Research & Development,10,2.0,Life Sciences,715,4,Male,80.0,4.0,1.0,Research Scientist,4,Single,4680.0,15232.0,3,No,17.0,3.0,1.0,0.0,4,2.0,3,1,0.0,0.0,0.0
33,Yes,Travel_Rarely,527.0,Research & Development,1,4.0,Other,780,3,Male,63.0,3.0,1.0,Research Scientist,4,Single,2686.0,5207.0,1,Yes,13.0,3.0,3.0,0.0,10,2.0,2,10,9.0,7.0,8.0
49,No,Travel_Rarely,701.0,Sales,13,4.0,Marketing,2173,4,Male,44.0,3.0,2.0,Sales Executive,1,Single,4960.0,11826.0,2,No,14.0,3.0,4.0,0.0,22,2.0,3,10,7.0,1.0,7.0
45,No,Travel_Rarely,1005.0,Research & Development,28,2.0,Technical Degree,1719,4,Female,48.0,2.0,4.0,Research Director,3,Single,16679.875,17119.0,1,No,11.0,3.0,3.0,0.0,21,2.0,3,21,6.0,8.0,6.0
42,No,Travel_Rarely,1142.0,Research & Development,8,3.0,Life Sciences,1860,4,Male,81.0,3.0,1.0,Laboratory Technician,3,Single,3968.0,13624.0,2,No,13.0,3.0,4.0,0.0,8,3.0,3,5,0.0,0.0,0.0
45,Yes,Travel_Frequently,306.0,Sales,26,4.0,Life Sciences,684,1,Female,100.0,3.0,2.0,Sales Executive,1,Married,4286.0,5630.0,2,No,14.0,3.0,4.0,2.0,5,4.0,3,1,1.0,0.0,0.0
23,No,Travel_Rarely,541.0,Sales,2,1.0,Technical Degree,113,3,Male,62.0,3.0,1.0,Sales Representative,1,Divorced,2322.0,9518.0,3,No,13.0,3.0,3.0,1.0,3,3.0,3,0,0.0,0.0,0.0
60,No,Travel_Rarely,370.0,Research & Development,1,4.0,Medical,1697,3,Male,92.0,1.0,3.0,Healthcare Representative,4,Divorced,4967.0,20467.0,3,No,20.0,4.0,3.0,1.0,19,2.0,4,1,0.0,0.0,0.0
33,No,Travel_Rarely,147.0,Research & Development,4,4.0,Medical,305,3,Female,47.0,2.0,1.0,Research Scientist,2,Married,2622.0,13248.0,6,No,21.0,4.0,4.0,0.0,7,3.0,3,3,2.0,1.0,1.0
42,No,Non-Travel,926.0,Research & Development,21,2.0,Medical,270,3,Female,36.0,3.0,2.0,Manufacturing Director,3,Divorced,5265.0,16439.0,2,No,16.0,3.0,2.0,1.0,11,5.0,3,5,3.0,0.0,2.0
44,No,Travel_Rarely,1117.0,Research & Development,2,1.0,Life Sciences,1246,1,Female,72.0,4.0,1.0,Research Scientist,4,Married,2011.0,19982.0,1,No,13.0,3.0,4.0,1.0,10,5.0,3,10,5.0,7.0,7.0
32,No,Travel_Rarely,805.0,Research & Development,8,3.0,Other,2446,2,Male,47.0,3.0,1.0,Laboratory Technician,4,Divorced,3917.0,9541.0,1,No,17.0,4.0,1.0,1.0,1,4.0,2,2,2.0,1.0,2.0
38,Yes,Travel_Rarely,104.0,Research & Development,4,3.0,Life Sciences,2097,1,Female,67.0,3.0,1.0,Laboratory Technician,1,Divorced,2074.0,26622.0,1,Yes,14.0,3.0,4.0,1.0,1,2.0,3,4,0.0,0.0,0.0
35,No,Travel_Rarely,576.0,Research & Development,27,3.0,Life Sciences,2554,4,Male,42.0,2.0,2.0,Manufacturing Director,2,Single,4318.0,24155.0,1,No,10.0,3.0,4.0,0.0,3,2.0,3,2,3.0,0.0,2.0
26,No,Travel_Frequently,496.0,Research & Development,11,2.0,Medical,390,1,Male,60.0,3.0,2.0,Healthcare Representative,1,Married,4741.0,22722.0,1,Yes,13.0,3.0,3.0,1.0,5,3.0,3,5,3.0,3.0,3.0
37,No,Travel_Rarely,1189.0,Sales,3,3.0,Life Sciences,152,3,Male,87.0,3.0,3.0,Sales Executive,4,Single,7428.0,14506.0,2,No,12.0,3.0,1.0,0.0,12,3.0,3,5,3.0,1.0,3.0
58,No,Travel_Rarely,848.0,Research & Development,23,4.0,Life Sciences,1308,1,Male,88.0,3.0,1.0,Research Scientist,3,Divorced,2372.0,26076.0,1,No,12.0,3.0,4.0,2.0,2,3.0,3,2,2.0,2.0,2.0
29,Yes,Travel_Frequently,1497.0,Sales,4,3.0,Technical Degree,2271,1,Male,89.0,3.0,1.0,Sales Representative,3,Married,2906.0,15746.0,3,No,17.0,3.0,4.0,1.0,2,3.0,4,3,2.0,1.0,2.0
49,No,Travel_Rarely,722.0,Research & Development,25,4.0,Life Sciences,1617,3,Female,84.0,3.0,1.0,Laboratory Technician,1,Married,3211.0,22102.0,1,No,14.0,3.0,4.0,1.0,10,3.0,2,9,6.0,1.0,4.0
36,No,Travel_Rarely,638.0,Research & Development,8,2.0,Medical,865,3,Female,91.0,4.0,2.0,Research Scientist,3,Married,5175.0,22162.0,2,No,12.0,3.0,3.0,1.0,9,3.0,2,5,3.0,1.0,3.0
29,No,Travel_Rarely,1210.0,Sales,2,3.0,Medical,366,1,Male,78.0,2.0,2.0,Sales Executive,2,Married,6644.0,3687.0,2,No,19.0,3.0,2.0,2.0,10,2.0,3,0,0.0,0.0,0.0
55,No,Non-Travel,177.0,Research & Development,8,1.0,Medical,1278,4,Male,37.0,2.0,4.0,Healthcare Representative,2,Divorced,13577.0,25592.0,1,Yes,15.0,3.0,4.0,1.0,34,3.0,3,33,9.0,15.0,0.0
43,No,Non-Travel,1344.0,Research & Development,7,3.0,Medical,262,4,Male,37.0,4.0,1.0,Research Scientist,4,Divorced,2089.0,5228.0,4,No,14.0,3.0,4.0,3.0,7,3.0,4,5,4.0,2.0,2.0
25,No,Travel_Rarely,1472.0,Research & Development,0,2.0,Medical,2519,4,Male,82.0,3.0,1.0,Laboratory Technician,2,Divorced,3815.0,17881.0,1,No,12.0,3.0,2.0,1.0,6,2.0,3,8,2.0,0.0,4.0
38,No,Travel_Frequently,508.0,Research & Development,6,4.0,Life Sciences,1997,1,Male,72.0,2.0,2.0,Manufacturing Director,3,Married,5321.0,14284.0,2,No,11.0,3.0,4.0,1.0,10,1.0,3,8,3.0,7.0,7.0
52,No,Travel_Rarely,956.0,Research & Development,6,2.0,Technical Degree,630,4,Male,78.0,3.0,2.0,Research Scientist,1,Divorced,5577.0,22087.0,3,Yes,12.0,3.0,2.0,2.0,18,3.0,3,10,9.0,6.0,9.0
41,No,Travel_Rarely,865.0,Research & Development,8,2.0,Medical,2151,1,Male,85.0,3.0,2.0,Manufacturing Director,1,Married,5149.0,12316.0,1,No,26.0,4.0,4.0,1.0,9,3.0,3,9,0.0,7.0,9.0
38,No,Travel_Rarely,130.0,Sales,2,2.0,Marketing,1125,4,Male,32.0,3.0,3.0,Sales Executive,2,Single,7351.0,20619.0,7,No,16.0,3.0,3.0,0.0,10,2.0,3,1,0.0,0.0,0.0
37,No,Travel_Frequently,319.0,Sales,4,4.0,Marketing,311,1,Male,41.0,3.0,1.0,Sales Representative,4,Divorced,2793.0,2539.0,4,No,17.0,3.0,3.0,1.0,13,2.0,3,9,8.0,5.0,8.0
